,中间词,外围连接词,权重
0,54,0,1
1,83,0,1
2,56,0,1
3,57,0,1
4,92,0,1
5,81,0,1
6,77,0,1
7,58,1,1
8,56,1,1
9,89,1,1
10,53,2,1
11,63,2,1
12,47,3,1
13,54,4,1
14,65,4,1
15,54,5,1
16,51,5,1
17,53,6,1
18,54,6,1
19,53,7,1
20,63,7,1
21,78,7,1
22,53,8,1
23,54,8,1
24,58,8,1
25,83,8,1
26,74,8,1
27,53,9,1
28,63,9,1
29,65,9,1
30,99,9,1
31,73,9,1
32,53,11,1
33,54,11,1
34,65,11,1
35,48,11,1
36,75,11,1
37,47,11,1
38,90,11,1
39,61,11,1
40,53,10,1
41,101,10,1
42,73,10,1
43,52,10,1
44,54,12,1
45,63,12,1
46,58,12,1
47,48,12,1
48,85,12,1
49,45,12,1
50,99,12,1
51,66,12,1
52,64,12,1
53,87,12,1
54,44,12,1
55,89,12,1
56,80,12,1
57,86,12,1
58,54,13,1
59,63,13,1
60,87,13,1
61,69,13,1
62,89,13,1
63,76,13,1
64,101,14,1
65,52,14,1
66,63,15,1
67,58,15,1
68,65,15,1
69,101,15,1
70,62,15,1
71,89,15,1
72,53,16,1
73,54,16,1
74,63,16,1
75,48,16,1
76,93,16,1
77,53,17,1
78,54,18,1
79,65,19,1
80,91,19,1
81,73,19,1
82,58,20,1
83,65,20,1
84,73,20,1
85,58,21,1
86,58,22,1
87,48,22,1
88,92,22,1
89,49,22,1
90,58,23,1
91,90,23,1
92,59,23,1
93,65,24,1
94,48,25,1
95,53,26,1
96,54,26,1
97,63,26,1
98,58,26,1
99,65,26,1
100,83,26,1
101,75,26,1
102,56,26,1
103,99,26,1
104,101,26,1
105,47,26,1
106,57,26,1
107,90,26,1
108,61,26,1
109,94,26,1
110,91,26,1
111,72,26,1
112,68,26,1
113,73,26,1
114,96,26,1
115,100,26,1
116,84,26,1
117,70,26,1
118,55,26,1
119,88,26,1
120,63,27,1
121,58,27,1
122,80,27,1
123,50,27,1
124,98,27,1
125,84,27,1
126,53,28,1
127,56,28,1
128,72,28,1
129,97,28,1
130,99,29,1
131,47,30,1
132,61,30,1
133,54,31,1
134,87,31,1
135,92,31,1
136,79,31,1
137,49,31,1
138,60,31,1
139,71,31,1
140,91,32,1
141,63,33,1
142,58,33,1
143,99,33,1
144,73,33,1
145,82,33,1
146,53,34,1
147,54,34,1
148,58,34,1
149,65,34,1
150,83,34,1
151,75,34,1
152,47,34,1
153,69,34,1
154,89,34,1
155,46,34,1
156,83,35,1
157,75,35,1
158,61,35,1
159,75,36,1
160,67,37,1
161,65,38,1
162,65,39,1
163,90,39,1
164,91,39,1
165,65,40,1
166,52,40,1
167,53,41,1
168,48,41,1
169,47,41,1
170,83,42,1
171,95,42,1
172,61,43,1
