,中间词,外围连接词,权重
0,44,32,1
1,44,2,1
2,44,16,1
3,45,1,1
4,45,7,1
5,46,30,1
6,46,27,1
7,47,19,1
8,41,17,1
9,61,12,1
10,61,5,1
11,56,22,1
12,42,9,1
13,65,6,1
14,66,37,1
15,66,8,1
16,66,34,1
17,66,4,1
18,66,23,1
19,66,33,1
20,48,13,1
21,54,9,1
22,62,3,1
23,63,26,1
24,52,25,1
25,39,0,1
26,50,29,1
27,50,10,1
28,53,32,1
29,53,31,1
30,60,38,1
31,60,36,1
32,55,38,1
33,55,35,1
34,55,24,1
35,64,6,1
36,64,18,1
37,64,20,1
38,59,25,1
39,49,11,1
40,49,14,1
41,49,15,1
42,40,0,1
43,58,17,1
44,43,17,1
45,51,28,1
46,51,27,1
47,57,21,1
