,nodes
0,Alzheimer Disease (MI)
1,Children (MI)
2,Clinical Judgement (MI)
3,Cognitive Aids (MI)
4,Cognitive Impairment Not Dementia (MI)
5,Comparative Effectiveness Research (MI)
6,Computer System (MI)
7,Databases And Data Mining (MI)
8,Dementia (MI)
9,Diagnostic Test (MI)
10,Education Technology (MI)
11,Educational Status (MI)
12,Effectiveness (MI)
13,Electronic Cigarettes (MI)
14,Electronic Health Information (MI)
15,Evaluation Of Electronic Resources (MI)
16,Evidence-Based Health Care (MI)
17,Exome (MI)
18,ICT System (MI)
19,Information Dissemination (MI)
20,Life Cycle (MI)
21,Medication Safety (MI)
22,Medicine 2.0 (MI)
23,Mild Cognitive Impairment (MI)
24,Motility (MI)
25,Multi-Morbidity (MI)
26,Musculoskeletal Diseases (MI)
27,Pharmacovigilance (MI)
28,Philosophy Of Medicine (MI)
29,Program Evaluation (MI)
30,Pubmed (MI)
31,Risk Calculation (MI)
32,Risk Perception (MI)
33,Staff (MI)
34,Symptoms (MI)
35,Time Trade-Off (MI)
36,Utilities (MI)
37,Validation Studies (MI)
38,Visual Analog Scale (MI)
39,Classification (CS_basic)
40,Support Vector Machine (CS_basic)
41,Agility (CS_middle)
42,Bayesian Analyses (CS_middle)
43,Big Data (CS_middle)
44,Decision Making (CS_middle)
45,Decision Support System (CS_middle)
46,Natural Language Processing (CS_middle)
47,Social Networking Sites (CS_middle)
48,Text Mining (CS_middle)
49,Complex Network (CS_detail)
50,Distance Education (CS_detail)
51,Knowledge Acquisition (CS_detail)
52,Non Linear Dynamics (CS_detail)
53,Online System (CS_detail)
54,Sensitivity Analyses (CS_detail)
55,Spiking Neuron (CS_detail)
56,Web Site (CS_detail)
57,Bar Code (CS_marginal)
58,Cloud Computing (CS_marginal)
59,Complex Adaptive Systems (CS_marginal)
60,Coreference (CS_marginal)
61,DEA Analysis (CS_marginal)
62,Decision Analyses (CS_marginal)
63,Motion Learning (CS_marginal)
64,System Development (CS_marginal)
65,User Computer Interface (CS_marginal)
66,World Wide Web (CS_marginal)
