,中间词,外围连接词,权重
0,76,58,1
1,76,69,1
2,76,5,1
3,77,42,1
4,77,28,1
5,82,25,1
6,82,39,1
7,82,71,1
8,78,20,1
9,86,27,1
10,86,3,1
11,86,70,1
12,74,1,1
13,104,9,1
14,104,13,1
15,97,47,1
16,105,66,1
17,105,2,1
18,72,10,1
19,114,17,1
20,115,46,1
21,115,19,1
22,87,54,1
23,87,60,1
24,87,12,1
25,81,64,1
26,106,61,1
27,106,65,1
28,94,8,1
29,94,56,1
30,94,62,1
31,94,22,1
32,94,29,1
33,94,44,1
34,89,18,1
35,80,68,1
36,92,32,1
37,92,7,1
38,92,23,1
39,92,37,1
40,92,14,1
41,88,0,1
42,93,63,1
43,103,33,1
44,84,49,1
45,84,4,1
46,84,11,1
47,101,15,1
48,102,26,1
49,102,53,1
50,85,36,1
51,85,48,1
52,85,16,1
53,85,21,1
54,95,24,1
55,95,41,1
56,110,50,1
57,83,54,1
58,98,6,1
59,73,38,1
60,113,34,1
61,75,35,1
62,91,51,1
63,111,29,1
64,116,57,1
65,96,7,1
66,96,23,1
67,96,37,1
68,108,43,1
69,79,45,1
70,79,59,1
71,90,52,1
72,112,67,1
73,99,40,1
74,100,55,1
75,109,31,1
76,107,30,1
