,nodes
0,2-Period Cross-Over (MI)
1,Accessibility (MI)
2,Amira (MI)
3,Anorexia Nervosa (MI)
4,Archetype (MI)
5,Artial Fibrillation (MI)
6,Authorisation (MI)
7,Battered Women (MI)
8,Bayes Theorem (MI)
9,Bias Correction (MI)
10,Casual Inference (MI)
11,Clinical Archetypes (MI)
12,Clinical Text (MI)
13,Clinical Thinking (MI)
14,Complexity In Health (MI)
15,Computer Communication Network (MI)
16,Computerised Medical Record (MI)
17,Computerised Medical Record Systems (MI)
18,Consumer Health (MI)
19,Consumer Informatics (MI)
20,Cooperative Behavior Change (MI)
21,Data Integration (MI)
22,Diagnostic Accuracy (MI)
23,Domestic Violence (MI)
24,Drug Delivery (MI)
25,Drug-Drug Interaction (MI)
26,E-Simulation (MI)
27,Eating Disorder (MI)
28,Epileptic Seizure (MI)
29,Fixed Effects (MI)
30,Gene Expression Analysis (MI)
31,Guideline Development (MI)
32,Health Care Record (MI)
33,Health Utilities Index (MI)
34,Hierarchical Model (MI)
35,Internet Research (MI)
36,Interoperability (MI)
37,Intimate Partner Violence (MI)
38,Logistic Regression (MI)
39,Medical Subject Heading (MI)
40,Medication Administration (MI)
41,Mereology (MI)
42,Nephrology (MI)
43,New Treatment (MI)
44,Non-Inferiority Test (MI)
45,Observation Study (MI)
46,Online Survey (MI)
47,Online Treatment (MI)
48,Ontologies (MI)
49,Openehr (MI)
50,Organisational Framework (MI)
51,Organisational Learning (MI)
52,Osteoporosis (MI)
53,Patient Simulation (MI)
54,Pharmacogenetic (MI)
55,Physiotherapy (MI)
56,Pocket (MI)
57,Prevalence (MI)
58,Priority Setting (MI)
59,Progression (MI)
60,Protein-Protein Interaction (MI)
61,Risk-Based Monitoring (MI)
62,Sample Size Adjustment (MI)
63,Self-Help Groups (MI)
64,Snomed Ct (MI)
65,Source Document Verification (MI)
66,Survival Analyisis (MI)
67,Taxonomy (MI)
68,Transcelerate (MI)
69,Treatment Decision Making (MI)
70,Twitter Messaging (MI)
71,Verb Subcategorization (MI)
72,Machine Learning (CS_basic)
73,Neural Network (CS_basic)
74,Agility (CS_middle)
75,Big Data (CS_middle)
76,Decision Making (CS_middle)
77,Decision Support System (CS_middle)
78,Information System (CS_middle)
79,Inverse Probability Weighting (CS_middle)
80,Knowledge Management (CS_middle)
81,Knowledge Representation (CS_middle)
82,Natural Language Processing (CS_middle)
83,Salience (CS_middle)
84,Semantic Interoperability (CS_middle)
85,Semantic Net (CS_middle)
86,Social Networking Sites (CS_middle)
87,Text Mining (CS_middle)
88,Distance Education (CS_detail)
89,Human Computer Interaction (CS_detail)
90,Knowledge Acquisition (CS_detail)
91,Learning Algorithm (CS_detail)
92,Non Linear Dynamics (CS_detail)
93,Online System (CS_detail)
94,Sensitivity Analyses (CS_detail)
95,Spiking Neuron (CS_detail)
96,System Modeling (CS_detail)
97,Web Site (CS_detail)
98,Access Control (CS_marginal)
99,Bar Code (CS_marginal)
100,Bench Marking (CS_marginal)
101,Computer Security (CS_marginal)
102,Computer Simulation (CS_marginal)
103,Coreference (CS_marginal)
104,DEA Analysis (CS_marginal)
105,Data Coding (CS_marginal)
106,Data Quality (CS_marginal)
107,Data Security (CS_marginal)
108,Fully Automated (CS_marginal)
109,Group Recommender System (CS_marginal)
110,LCModel (CS_marginal)
111,Missing Data (CS_marginal)
112,Partitioning (CS_marginal)
113,Random Effect Model (CS_marginal)
114,User Computer Interface (CS_marginal)
115,World Wide Web (CS_marginal)
116,pRAM Nets (CS_marginal)
