,中间词,外围连接词,权重
0,113,53,1
1,113,24,1
2,113,101,1
3,113,90,1
4,113,50,1
5,113,10,1
6,113,8,1
7,113,39,1
8,113,21,1
9,113,25,1
10,113,55,1
11,113,82,1
12,113,103,1
13,113,33,1
14,113,106,1
15,113,79,1
16,113,81,1
17,113,36,1
18,113,60,1
19,113,86,1
20,113,0,1
21,113,28,1
22,113,105,1
23,113,13,1
24,113,27,1
25,113,93,1
26,113,9,1
27,114,54,1
28,114,41,1
29,114,30,1
30,114,71,1
31,114,22,1
32,114,2,1
33,114,65,1
34,114,13,1
35,114,17,1
36,120,84,1
37,120,73,1
38,120,66,1
39,120,57,1
40,120,69,1
41,120,23,1
42,117,54,1
43,117,41,1
44,117,55,1
45,117,47,1
46,117,35,1
47,117,63,1
48,117,49,1
49,123,51,1
50,123,20,1
51,123,32,1
52,123,40,1
53,109,19,1
54,109,72,1
55,109,39,1
56,109,57,1
57,109,71,1
58,109,92,1
59,109,5,1
60,109,85,1
61,109,34,1
62,146,100,1
63,146,105,1
64,146,93,1
65,146,16,1
66,135,37,1
67,135,97,1
68,135,78,1
69,135,45,1
70,111,24,1
71,111,101,1
72,111,31,1
73,115,99,1
74,115,68,1
75,115,56,1
76,115,76,1
77,115,18,1
78,164,65,1
79,164,43,1
80,164,64,1
81,164,34,1
82,165,6,1
83,165,55,1
84,165,77,1
85,165,29,1
86,155,73,1
87,155,8,1
88,124,8,1
89,124,2,1
90,119,82,1
91,119,20,1
92,119,7,1
93,119,15,1
94,121,84,1
95,148,54,1
96,148,66,1
97,148,26,1
98,148,88,1
99,148,69,1
100,108,70,1
101,108,102,1
102,116,38,1
103,116,42,1
104,116,14,1
105,116,58,1
106,149,33,1
107,149,79,1
108,129,69,1
109,129,104,1
110,151,31,1
111,118,4,1
112,158,90,1
113,158,25,1
114,158,59,1
115,132,80,1
116,132,4,1
117,107,3,1
118,107,30,1
119,152,32,1
120,131,103,1
121,131,86,1
122,150,38,1
123,150,44,1
124,150,71,1
125,150,88,1
126,150,42,1
127,127,42,1
128,133,61,1
129,133,95,1
130,144,90,1
131,153,52,1
132,153,88,1
133,122,73,1
134,143,84,1
135,143,67,1
136,143,23,1
137,143,48,1
138,112,74,1
139,161,37,1
140,161,103,1
141,161,86,1
142,138,53,1
143,138,99,1
144,138,103,1
145,157,75,1
146,136,62,1
147,136,106,1
148,136,56,1
149,142,32,1
150,145,30,1
151,160,96,1
152,125,1,1
153,125,80,1
154,110,99,1
155,141,84,1
156,141,8,1
157,156,100,1
158,126,69,1
159,166,83,1
160,166,94,1
161,162,91,1
162,139,89,1
163,139,12,1
164,139,46,1
165,128,90,1
166,128,87,1
167,130,62,1
168,163,32,1
169,147,3,1
170,154,82,1
171,159,98,1
172,134,11,1
173,137,29,1
174,140,10,1
