,nodes
0,Ablation (MI)
1,Adolescence (MI)
2,Adverse Drug Reaction (MI)
3,Agency (MI)
4,Alcohol Abuse (MI)
5,Attitude To Computer (MI)
6,Attribution (MI)
7,Barrier (MI)
8,Biomedical Informatics (MI)
9,Blood Pressure (MI)
10,Breast Cancer (MI)
11,Child (MI)
12,Choking (MI)
13,Clinic (MI)
14,Clinical Coding (MI)
15,Clinical Guideline (MI)
16,Clinical Medicine (MI)
17,Clinical Safety (MI)
18,Collaboration (MI)
19,Combined (MI)
20,Complexity (MI)
21,Computer Assisted Instruction (MI)
22,Computerised (MI)
23,Confidentiality (MI)
24,Cost Effectiveness (MI)
25,Cost Effectiveness Analysis (MI)
26,Data Collection (MI)
27,Decision Aid (MI)
28,Decision Support Techniques (MI)
29,Dental (MI)
30,Diagnoses (MI)
31,Difference (MI)
32,E-Research (MI)
33,Economic Evaluation (MI)
34,Efficiency (MI)
35,Emergency Department (MI)
36,Eminence (MI)
37,Epidemiologic Method (MI)
38,Equality (MI)
39,Ethical (MI)
40,Family Practice (MI)
41,Feeling (MI)
42,Fetal Electrocardiogram (MI)
43,Focus Group (MI)
44,Guideline (MI)
45,Health 2.0 (MI)
46,Health Economic (MI)
47,Health Education (MI)
48,Health Informatics System (MI)
49,Health Information Exchange (MI)
50,Health Policy (MI)
51,Health Promoting (MI)
52,Health Service Research (MI)
53,Health Technology Assessment (MI)
54,Hospital Information System (MI)
55,Hospitalist (MI)
56,Information Management (MI)
57,Intensive Care Unit (MI)
58,International Classification Of Disease (MI)
59,Intervention Studies (MI)
60,Kiosk (MI)
61,Literacy (MI)
62,Medical Education (MI)
63,Medical Image Analysis (MI)
64,Medical Informatics Application (MI)
65,Medical Order Entry System (MI)
66,Medical Record Linkage (MI)
67,Medical Record System (MI)
68,Medication Error (MI)
69,Medlee (MI)
70,Mobile Health (MI)
71,Nursing Informatics (MI)
72,Older Adult (MI)
73,Oncology (MI)
74,Online Support Group (MI)
75,Outcome Assessment (MI)
76,Paediatric (MI)
77,Patience (MI)
78,Patient Empowerment (MI)
79,Patient Preference (MI)
80,Patient-Centered Care (MI)
81,Physician Patient Relations (MI)
82,Practice Guideline (MI)
83,Predicting Model (MI)
84,Privacy Protection (MI)
85,Process Assessment (MI)
86,Prostate Cancer (MI)
87,Psychometric Methods/Scaling (MI)
88,Quality Improvement (MI)
89,Quality Of Care (MI)
90,Quality Of Life (MI)
91,Questionnaire (MI)
92,Readability (MI)
93,Research Transfer (MI)
94,Risk Assessment (MI)
95,Risk Communication Or Risk Perception (MI)
96,Search Engine (MI)
97,Selective Sampling (MI)
98,Standard Gamble (MI)
99,Surgery (MI)
100,Systematic Review (MI)
101,Technology Assessment (MI)
102,Text Message (MI)
103,Treatment Selection (MI)
104,User-Configurable Ehr (MI)
105,Utility Assessment (MI)
106,Work Flow (MI)
107,Classification (CS_basic)
108,Model Selection (CS_basic)
109,Agility (CS_middle)
110,Anomaly Detecting (CS_middle)
111,Bayesian Analyses (CS_middle)
112,Data Visualisation (CS_middle)
113,Decision Making (CS_middle)
114,Decision Support System (CS_middle)
115,Informatics Technology (CS_middle)
116,Information Rerieval (CS_middle)
117,Information System (CS_middle)
118,Knowledge Management (CS_middle)
119,Knowledge Representation (CS_middle)
120,Natural Language Processing (CS_middle)
121,Security (CS_middle)
122,Semantic Interoperability (CS_middle)
123,Social Networking Sites (CS_middle)
124,Text Mining (CS_middle)
125,Usability Testing (CS_middle)
126,Word Sense Disambiguation (CS_middle)
127,Distance Education (CS_detail)
128,Factor Analysis (CS_detail)
129,Human Computer Interaction (CS_detail)
130,Knowledge Acquisition (CS_detail)
131,Multi-Media Systems (CS_detail)
132,Non Linear Dynamics (CS_detail)
133,Online System (CS_detail)
134,Social Network Analysis (CS_detail)
135,Web Site (CS_detail)
136,Access Control (CS_marginal)
137,Activity Recognition (CS_marginal)
138,Adaptive Design (CS_marginal)
139,Administrative Database (CS_marginal)
140,Automated Detection (CS_marginal)
141,Cloud Computing (CS_marginal)
142,Complex Adaptive Systems (CS_marginal)
143,Computer Security (CS_marginal)
144,Coreference (CS_marginal)
145,Crowd-Sourcing (CS_marginal)
146,DEA Analysis (CS_marginal)
147,Data Presentation (CS_marginal)
148,Data Quality (CS_marginal)
149,Decision Analyses (CS_marginal)
150,Document Analysis (CS_marginal)
151,FIR Filter (CS_marginal)
152,Facial Feature Detection (CS_marginal)
153,Forensic Identification (CS_marginal)
154,Group Recommender System (CS_marginal)
155,Information Extraction (CS_marginal)
156,Knowledge Translation (CS_marginal)
157,LCModel (CS_marginal)
158,Motion Learning (CS_marginal)
159,Multi-Spectral Imaging (CS_marginal)
160,Problem Based Learning (CS_marginal)
161,R Software (CS_marginal)
162,Software Design (CS_marginal)
163,Structured Data (CS_marginal)
164,User Computer Interface (CS_marginal)
165,World Wide Web (CS_marginal)
166,pRAM Nets (CS_marginal)
